,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Solution,Measure of Evidence,Added on
0,2020-05-07,The Value of Remote Monitoring for the COVID-19 Pandemic,https://doi.org/10.1089/tmj.2020.0134,Telemedicine and e-Health,Editorial,Patients,Which form of telemedicine is best suited,Remote monitoring appears to be a logical solution to be deployed.,-,5/10/2020
1,2020-05-07,Systems Barriers to Assessment and Treatment of COVID-19 Positive Patients at the End of Life.,https://doi.org/10.1089/jpm.2020.0190,Journal of Palliative Medicine,Case Study,Palliative care patients,Barriers to Assessment and Treatment of COVID-19,Continue to deliver aggressive symptom management at the End Of Life despite these new and unexpected barriers,patient: 1,5/10/2020
2,2020-05-05,Going viral: how to boost the spread of coronavirus science on social media,https://doi.org/10.1038/d41586-020-01356-y,Nature,Editorial,General population,Coronavirus science on social media,"Good science communication involves storytelling, avoiding jargon and making science accessible.",-,5/10/2020
3,2020-05-05,Access to Telemedicine-Are We Doing All That We Can during the COVID-19 Pandemic?,https://doi.org/10.1177/0194599820925049,Otolaryngology–Head and Neck Surgery,Editorial,Patients,Difficult populations to reach with digital technology,Older and less educated patients are often the ones who suffer from poorer health,weeks: 4,5/10/2020
4,2020-05-05,Creation of Educational Videos for Patients Undergoing Nonelective Surgery: Tools for the COVID-19 Era.,https://doi.org/10.1177/0194599820925043,Otolaryngology–Head and Neck Surgery,Expert Review,Pre-surgical patients,Communication with patients,"Embracing educational videos as a valuable tool will improve communication with patients, especially during the times of COVID-19 and beyond.",studies: 9,5/10/2020
5,2020-05-03,Bereavement support on the frontline of COVID-19: Recommendations for hospital clinicians.,https://doi.org/10.1016/j.jpainsymman.2020.04.024,Journal of Pain and Symptom Management,Expert Review,Health care workers,Emotionally challenging work on staff,Recommend an organisational and systemic approach which includes access to informal and professional support.,studies: 41,5/10/2020
6,2020-05-02,How Big Data and Artificial Intelligence Can Help Better Manage the COVID-19 Pandemic.,https://doi.org/10.3390/ijerph17093176,International Journal of Environmental Research and Public Health,Expert Review,"Health care workers, government, public health experts","Huge, unprecedented amount of data","AI and Big Data can help sort data derived from public health surveillance, real-time epidemic outbreaks monitoring, trend now-casting/forecasting, regular situation briefing and updating from governmental institutions and organisms, and health facility utilization information.",studies: 30,5/10/2020
7,2020-04-30,Healthy communication in the promotion of healthy aging during COVID-19 pandemic,http://www.cmj.hr/2020/61/2/32378385.htm,Croation Medical Journal,Editorial,Elderly,Improve communication,Promoting healthy aging at all levels (from local to global) is a continuous process in which it is essential to improve communication.,studies: 9,5/10/2020
8,2020-04-26,Interdisciplinary Perspectives on Health Literacy Research Around the World: More Important Than Ever in a Time of COVID-19.,https://doi.org/10.3390/ijerph17093010,International Journal of Environmental Research and Public Health,Editorial,General population,Health literacy,"A greater understanding, appreciation, and application of health literacy can support policy action on multiple levels to address major public health challenges.",model: SEM,5/10/2020
9,2020-04-21,Information Overload: A Method to Share Updates among Frontline Staff during the COVID-19 Pandemic,https://doi.org/10.1177/0194599820922988,Otolaryngology–Head and Neck Surgery,Expert Review,Otolaryngology Department,Guidelines,"A 1-page centralized document termed a “quicksheet” was developed to include guidelines, policies, and practical information and to serve as a reference tool for our clinicians.",-,4/22/2020
10,2020-04-17,Secure Communication Conduits During COVID19 Lockdown,10.1111/ced.14244,Clinical and Experimental Dermatology,Expert Review,Clinicians,Secure Communication,"WhatsApp, Nye, Myskinselfie, Hospify, Pando",-,4/22/2020
