,Date,Study,Study Link,Journal,Study Type,Addressed Population,Challenge,Solution,Measure of Evidence,Added On
0,2020-04-23,Triage of Scarce Critical Care Resources in COVID-19 An Implementation Guide for Regional Application An expert panel report of the Task Force for Mass Critical Care and the American College of Chest Physicians,https://journal.chestnet.org/article/S0012-3692(20)30691-7/pdf,Chest,Expert Review,Critical Care Units,Resource shortage,"Preparation of a triage system to best allocate available critical care resources to meet severe surge to maximize benefit for the greatest number of people. To enact the triage plan, a triage decision support protocol, infrastructure, processes, legal and regulatory protections, and training are required.",countries: 2,4/26/20
1,2020-04-20,Experiences of Patients with Rheumatic Diseases in the US During Early Days of the COVID-19 Pandemic,https://www.ncbi.nlm.nih.gov/pubmed/32311836,American College of Rheumatology,Expert Review,Patients with medication concerns,Hydroxychloroquine shortage,Safeguard access to established treatments for rheumatic diseases,surveys: 530,4/22/20
2,2020-04-20,"A Brief Telephone Severity Scoring System and Therapeutic Living Centers Solved Acute Hospital-Bed Shortage during the COVID-10 Outbreak in Daegu, Korea",https://www.ncbi.nlm.nih.gov/pubmed/32301298,Journal of Korean Medical Science,Retrospective Observational Study,Critical Care Units,Hospital-bed shortage,Telephone severity scoring system to assign priority for hospitalization and arranging for facility isolation. Only 81 cases (2.67%) of patients were transferred to hospitals after facility isolation,"health care facilities: 15; Patients: 3,033",4/22/20
3,2020-04-20,N95 Mask Decontamination using Standard Hospital Sterilization Technologies,https://www.medrxiv.org/content/10.1101/2020.04.05.20049346v2,medRXiv Preprint,Investigative study,Sterile services,PPE shortage,"The study demonstrated that 4 different decontamination methods (autoclave treatment, ethylene oxide gassing, low temperature hydrogen peroxide gas plasma treatment, vaporous hydrogen peroxide exposure, and peracetic acid dry fogging) were highly effective in sterilizing a variety of different N95 masks of experimental contamination with SARS-CoV-2 or Vesicular stomatitis virus as a surrogate. Additionally, the results showed that the use of individual N95 masks can potentially be extended several-fold without degradation of functional integrity.",Decontamination methods tested: 4,4/26/20
4,2020-04-17,Can N95 respirators be reused after disinfection? And for how many times?,https://www.medrxiv.org/content/10.1101/2020.04.01.20050443v2,medRXiv Preprint,Investigative study,Sterile services,PPE shortage,"Heating was applied up to 50 cycles without observation in the degradation of meltblown filtration performance. Ultraviolet (UV) irradiation was a secondary choice which was able to withstand 10 cycles of treatment and showed small degradation by 20 cycles. However, UV can also potentially impact the material strength and fit of respirators. Finally, treatments involving liquids and vapors require caution, as steam, alcohol, and household bleach may all lead to degradation of the filtration efficiency, leaving the user vulnerable to the viral aerosols.",-,4/26/20
5,2020-04-15,Where to buy face masks? Survey of applications using Taiwan's open data in the time of COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32304508,Journal of the Chinese Medical Association,Expert Review,General population,PPE shortage,Open data strategy for rapid software application for information dissemination on face mask availability,-,4/22/20
6,2020-04-15,Novel Coronavirus 2019 (2019-nCoV) Infection: Part I - Preparedness and Management in the Pediatric Intensive Care Unit in Resource-limited Settings.,https://www.ncbi.nlm.nih.gov/pubmed/32238613?holding=gulib&otool=gulib,Indian Pediatrics,Expert Review,Critical Care Units,Respiratory Support in PICU when non-invasive and invasive mechanical ventilation are not available,"In situations where both non-invasive and invasive mechanical ventilation are not available, bubble nasal CPAP (commercial or indigenous) may be used for newborns and children with severe hypoxemia as these are readily available alternative in resource-limited settings.To minimize environmental contamination the infant could be placed in an oxygen hood to reduce droplets.",-,4/22/20
7,2020-04-15,When Resources Are Scarce - Feasibility of Emergency Ventilation of Two Patients With One Ventilator,https://www.medrxiv.org/content/10.1101/2020.04.10.20060525v1,medRXiv Preprint,Simulation,Critical Care Units,Ventilator shortage,Using one ventilator to ventilate two patients (via adaptors) can result in reliable measurements of tidal volume and respiratory compliance of one patient through short term disconnection of the other patient and vice versa.,-,4/26/20
8,2020-04-15,FFP-2 respirator masks in times of crisis,https://www.medrxiv.org/content/10.1101/2020.04.10.20060632v1,medRXiv Preprint,Investigative study,Healthcare providers,PPE shortage,"In an attempt to improve personal protection against COVID-19 in locations such as hospitals that are experiencing an insufficient supply of respirator masks, the study found that a 3-layer mask design made with materials that are routinely available in hospitals worldwide and could be produced in less than 5 minutes meets the criterion for FFP-2 respirator masks. Alternatively, a 2-layer mask was found to meet the criteria for FFP-1 respirator masks. Additionally, a qualitative test determined the breathability remained good and the fit was adequate (3-layer mask).",-,4/26/20
9,2020-04-15,"Modifying reusable elastomeric respirators to utilise breathing system filters with 3D printed adapters, a safe alternative to N95 during COVID-19",https://www.medrxiv.org/content/10.1101/2020.04.10.20061291v1,medRXiv Preprint,Investigative study,Healthcare providers,PPE shortage,"The study demonstrated that utilizing breathing system filters on modified reusable elastomeric respirators is safe and feasible alternative to N95 / FFP-3 respirators, which are in short supply.",participants: 8,4/26/20
