,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Proposed Solution,"Measure of Evidence Strength, if found",Added on
0,2020-05-08,Respiratory surveillance wards as a strategy to reduce nosocomial transmission of COVID-19 through early detection: the experience of a tertiary hospital in Singapore.,https://doi.org/10.1017/ice.2020.207,Infection Control & Hospital Epidemiology,Case Series,Health-care staff,Early isolation and containment,"Institution introduced a ""respiratory surveillance ward"" (RSW) to segregate all patients with respiratory symptoms in designated areas",patients: 1178,5/10/2020
1,2020-05-05,Repurposing and reshaping of hospitals during the COVID-19 outbreak in South Korea.,https://doi.org/10.1016/j.onehlt.2020.100137,One Health,Expert Review,Health-care staff,Mitigate community transmission and prevent nosocomial infection.,"The reallocation of health care capacity, repurposing of hospitals, and close collaboration between the government and the health care committee might have been the key to successfully addressing the crisis of COVID-19 given the shortage of health care resources.",hospitals: 67,5/10/2020
2,2020-05-01,"COVID-19, superinfections and antimicrobial development: What can we expect?",https://doi.org/10.1093/cid/ciaa524,Clinical Infectious Diseases,Systematic review and meta-analysis,Health-care staff and drug development,"Superinfections, AMR and antimicrobial development during the pandemic","Results from carefully designed studies early in the pandemic can be used to inform rational antimicrobial treatment and stewardship strategies, and to develop diagnostic criteria for superinfections.",studies: 16,5/10/2020
3,2020-04-30,Environmental Contamination of SARS-CoV-2 in Healthcare Premises.,https://doi.org/10.1016/j.jinf.2020.04.034,Journal of Infection,Cross-sectional study,Health-care staff,Hospitals are significant epicenters for the human-to-human transmission,"Ensure adequate environmental cleaning, strengthen infection prevention training, and improve infection prevention among HCWs during the outbreak of COVID-19.",surface swabs: 626,5/10/2020
4,2020-04-28,Rapid Implementation of an Adult COVID-19 Unit in a Children's Hospital.,https://doi.org/10.1016/j.jpeds.2020.04.060,Journal of Pediatrics,Case Series,Pediatric staff,Rapid implementation of an adult unit,"Pediatric team screened, admitted, and cared for hospitalized adults by leveraging the familiarity of our system, adaptability of our staff, and high-quality infrastructure.",patients: 100,5/10/2020
5,2020-04-27,A quick evaluation method of nosocomial infection risk for cancer hospitals during the COVID-19 pandemic.,https://doi.org/10.1007/s00432-020-03235-5,Journal of Cancer Research and Clinical Oncology,Simulation,Cancer unit staff,Nosocomial infections,"Develop a risk model based on the experience of recently resumed activities in many cancer hospitals in China, could also be integrated into the hospital's emergency response system in a timely manner.",surveys: 83,5/10/2020
6,2020-04-26,COVID-19 and its implications in the management of resource infrastructure.,https://dx.doi.org/10.1016%2Fj.jds.2020.04.008,Journal of Dental Science,Editorial,Dental staff,Distributions of resources,Keeping stock of equipment and of planning longer and more frequent shifts,-,5/10/2020
7,2020-04-23,Prevention of nosocomial COVID-19: Another challenge of the pandemic.,https://doi.org/10.1017/ice.2020.166,Infection Control & Hospital Epidemiology,Editorial,Health-care staff,Nosocomially acquired COVID-19,"Optimal preventive approach, which will probably include the regular screening of all asymptomatic healthcare personnel working at wards with high rates of nosocomial transmission.",weeks: 15,5/10/2020
8,2020-04-22,Implementing Physical Distancing in the Hospital: A Key Strategy to Prevent Nosocomial Transmission of COVID-19,https://doi.org/10.12788/jhm.3434,Journal of Hospital Medicine,Editorial,Hospitalists,Nosocomial Transmission of COVID-19,Physical distancing in the hospital is critical to ensure the health and well-being of the health professional workforce during the pandemic.,-,5/10/2020
9,2020-04-20,COVID-19: Limiting the Risks for Eye Care Professionals.,https://www.tandfonline.com/doi/abs/10.1080/09273948.2020.1755442,Ocular Immunology and Inflammation,Expert Review,Ophthalmology staff,Limiting the Risks for Eye Care Professionals,"Strategies and recommendations for ophthalmologists to reduce transmission: Minimizing Exposures, Standard and Transmission-Directed Precautions, Aerosol-Generating and Contact or Invasive Diagnostic Procedures, Non-Emergency Surgery, Infection Control at the Hospital. Association between conjunctivitis and SARS-CoV-2 is still unclear.",studies: 29,4/22/2020
